area_name,total_population,bike_access_fraction
aeroporto,464,0.3
agucchi,4409,0.3
arcoveggio,10319,0.3
bargellino,72,0.3
battindarno,8769,0.3
beverara,7044,0.3
bitone,10826,0.3
borgo centro,7915,0.3
caab,438,0.3
cadriano-calamosco,855,0.3
canale di reno,6261,0.3
caserme rosse-manifattura,2145,0.3
casteldebole,5054,0.3
cavedone,3153,0.3
chiesanuova,7464,0.3
cirenaica,9190,0.3
cnr,48,0.3
corelli,8789,0.3
croce coperta,6005,0.3
croce del biacco,4461,0.3
dagnini,9554,0.3
ducati-villaggio ina,3080,0.3
due madonne,3035,0.3
emilia ponente,9003,0.3
ex mercato ortofrutticolo,1714,0.3
fiera,21,0.3
fossolo,8724,0.3
galvani-1,1775,0.3
galvani-2,11224,0.3
giardini margherita,32,0.3
guelfa,7042,0.3
irnerio-1,3644,0.3
irnerio-2,10000,0.3
la birra,1939,0.3
la dozza,1359,0.3
la noce,1522,0.3
laghetti del rosario,486,0.3
lavino di mezzo,526,0.3
lazzaretto,913,0.3
lungo reno,13,0.3
lungo savena,179,0.3
malpighi-1,1847,0.3
malpighi-2,9796,0.3
marconi-1,2340,0.3
marconi-2,12414,0.3
mengoli,10005,0.3
mezzofanti,7486,0.3
michelino,4562,0.3
monte donato,1433,0.3
mulino del gomito,722,0.3
ospedale bellaria,120,0.3
ospedale sant'orsola,79,0.3
osservanza,4376,0.3
paderno,1654,0.3
pescarola,4527,0.3
piazza dell'unita',10910,0.3
pilastro,7076,0.3
ponte savena-la bastia,1333,0.3
pontevecchio,5306,0.3
prati di caprara-ospedale maggiore,476,0.3
ravone,1218,0.3
rigosa,1326,0.3
roveri,1263,0.3
san donnino,2922,0.3
san giuseppe,6330,0.3
san luca,666,0.3
san michele in bosco,2725,0.3
san savino,9212,0.3
savena abbandonato,1002,0.3
scalo merci san donato,40,0.3
scalo ravone,144,0.3
scandellara,958,0.3
siepelunga,4471,0.3
stadio-meloncello,3627,0.3
stradelli guelfi,305,0.3
tiro a segno,151,0.3
triumvirato-pietra,5377,0.3
velodromo,5801,0.3
via arno,7129,0.3
via del genio,17,0.3
via del lavoro,8051,0.3
via del vivaio,929,0.3
via ferrarese,11851,0.3
via larga,2196,0.3
via mondo,8026,0.3
via toscana,9635,0.3
via vittorio veneto,5391,0.3
villaggio della barca,5943,0.3
xxi aprile,12839,0.3
zanardi,6571,0.3
