area_name,household_type,household_size,households
battindarno,Altre tipologie familiari,6-10,2
canale di reno,Altre tipologie familiari,6-10,2
villaggio della barca,Altre tipologie familiari,6-10,2
battindarno,Coniugi con figli e altri membri conviventi,4,29
canale di reno,Coniugi con figli e altri membri conviventi,4,21
villaggio della barca,Coniugi con figli e altri membri conviventi,4,20
battindarno,Padre con figli,4,1
canale di reno,Padre con figli,4,1
villaggio della barca,Padre con figli,4,1
battindarno,Padre con figli e altri membri conviventi,3,64
canale di reno,Padre con figli e altri membri conviventi,3,46
villaggio della barca,Padre con figli e altri membri conviventi,3,43
battindarno,Padre con figli e altri membri conviventi,6-10,3
canale di reno,Padre con figli e altri membri conviventi,6-10,3
villaggio della barca,Padre con figli e altri membri conviventi,6-10,2
aeroporto,Madre con figli e altri membri conviventi,6-10,1
bargellino,Madre con figli e altri membri conviventi,6-10,1
borgo centro,Madre con figli e altri membri conviventi,6-10,3
casteldebole,Madre con figli e altri membri conviventi,6-10,2
ducati-villaggio ina,Madre con figli e altri membri conviventi,6-10,2
la birra,Madre con figli e altri membri conviventi,6-10,1
lavino di mezzo,Madre con figli e altri membri conviventi,6-10,1
lungo reno,Madre con figli e altri membri conviventi,6-10,1
rigosa,Madre con figli e altri membri conviventi,6-10,1
triumvirato-pietra,Madre con figli e altri membri conviventi,6-10,3
via del vivaio,Madre con figli e altri membri conviventi,6-10,1
aeroporto,Padre con figli,2,4
bargellino,Padre con figli,2,1
borgo centro,Padre con figli,2,57
casteldebole,Padre con figli,2,37
ducati-villaggio ina,Padre con figli,2,23
la birra,Padre con figli,2,14
lavino di mezzo,Padre con figli,2,4
lungo reno,Padre con figli,2,1
rigosa,Padre con figli,2,10
triumvirato-pietra,Padre con figli,2,39
via del vivaio,Padre con figli,2,7
aeroporto,Padre con figli,5,1
bargellino,Padre con figli,5,1
borgo centro,Padre con figli,5,1
casteldebole,Padre con figli,5,1
ducati-villaggio ina,Padre con figli,5,1
la birra,Padre con figli,5,1
lavino di mezzo,Padre con figli,5,1
lungo reno,Padre con figli,5,1
rigosa,Padre con figli,5,1
triumvirato-pietra,Padre con figli,5,1
via del vivaio,Padre con figli,5,1
arcoveggio,Altre tipologie familiari,3,20
caserme rosse-manifattura,Altre tipologie familiari,3,5
cnr,Altre tipologie familiari,3,1
ex mercato ortofrutticolo,Altre tipologie familiari,3,4
piazza dell'unita',Altre tipologie familiari,3,21
via ferrarese,Altre tipologie familiari,3,23
arcoveggio,Coniugi con altri membri conviventi,3,22
caserme rosse-manifattura,Coniugi con altri membri conviventi,3,5
cnr,Coniugi con altri membri conviventi,3,1
ex mercato ortofrutticolo,Coniugi con altri membri conviventi,3,4
piazza dell'unita',Coniugi con altri membri conviventi,3,24
via ferrarese,Coniugi con altri membri conviventi,3,25
arcoveggio,Coniugi con figli,6-10,19
caserme rosse-manifattura,Coniugi con figli,6-10,4
cnr,Coniugi con figli,6-10,1
ex mercato ortofrutticolo,Coniugi con figli,6-10,4
piazza dell'unita',Coniugi con figli,6-10,20
via ferrarese,Coniugi con figli,6-10,22
arcoveggio,Padre con figli e altri membri conviventi,6-10,6
caserme rosse-manifattura,Padre con figli e altri membri conviventi,6-10,2
cnr,Padre con figli e altri membri conviventi,6-10,1
ex mercato ortofrutticolo,Padre con figli e altri membri conviventi,6-10,1
piazza dell'unita',Padre con figli e altri membri conviventi,6-10,6
via ferrarese,Padre con figli e altri membri conviventi,6-10,6
croce coperta,Coniugi,2,465
la dozza,Coniugi,2,106
mulino del gomito,Coniugi,2,56
san savino,Coniugi,2,713
savena abbandonato,Coniugi,2,78
croce coperta,Coniugi con figli,4,196
la dozza,Coniugi con figli,4,45
mulino del gomito,Coniugi con figli,4,24
san savino,Coniugi con figli,4,300
savena abbandonato,Coniugi con figli,4,33
croce coperta,Coppia unita civilmente femminile,2,3
la dozza,Coppia unita civilmente femminile,2,1
mulino del gomito,Coppia unita civilmente femminile,2,1
san savino,Coppia unita civilmente femminile,2,4
savena abbandonato,Coppia unita civilmente femminile,2,1
croce coperta,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
la dozza,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
mulino del gomito,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
san savino,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
savena abbandonato,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
croce coperta,Coppia unita civilmente maschile,2,2
la dozza,Coppia unita civilmente maschile,2,1
mulino del gomito,Coppia unita civilmente maschile,2,1
san savino,Coppia unita civilmente maschile,2,4
savena abbandonato,Coppia unita civilmente maschile,2,1
beverara,Altre tipologie familiari,6-10,1
la noce,Altre tipologie familiari,6-10,1
laghetti del rosario,Altre tipologie familiari,6-10,1
lazzaretto,Altre tipologie familiari,6-10,1
pescarola,Altre tipologie familiari,6-10,1
tiro a segno,Altre tipologie familiari,6-10,1
beverara,Coniugi con figli e altri membri conviventi,6-10,18
la noce,Coniugi con figli e altri membri conviventi,6-10,4
laghetti del rosario,Coniugi con figli e altri membri conviventi,6-10,2
lazzaretto,Coniugi con figli e altri membri conviventi,6-10,3
pescarola,Coniugi con figli e altri membri conviventi,6-10,12
tiro a segno,Coniugi con figli e altri membri conviventi,6-10,1
beverara,Madre con figli,3,68
la noce,Madre con figli,3,15
laghetti del rosario,Madre con figli,3,5
lazzaretto,Madre con figli,3,9
pescarola,Madre con figli,3,44
tiro a segno,Madre con figli,3,2
beverara,Solo,1,784
la noce,Solo,1,170
laghetti del rosario,Solo,1,55
lazzaretto,Solo,1,102
pescarola,Solo,1,504
tiro a segno,Solo,1,17
ravone,Coniugi con figli e altri membri conviventi,6-10,2
san giuseppe,Coniugi con figli e altri membri conviventi,6-10,7
san luca,Coniugi con figli e altri membri conviventi,6-10,1
stadio-meloncello,Coniugi con figli e altri membri conviventi,6-10,4
via del genio,Coniugi con figli e altri membri conviventi,6-10,1
xxi aprile,Coniugi con figli e altri membri conviventi,6-10,15
ravone,Coniugi con figli e altri membri conviventi,Oltre 10,1
san giuseppe,Coniugi con figli e altri membri conviventi,Oltre 10,1
san luca,Coniugi con figli e altri membri conviventi,Oltre 10,1
stadio-meloncello,Coniugi con figli e altri membri conviventi,Oltre 10,1
via del genio,Coniugi con figli e altri membri conviventi,Oltre 10,1
xxi aprile,Coniugi con figli e altri membri conviventi,Oltre 10,2
ravone,Coppia unita civilmente femminile con altri conviventi,3,1
san giuseppe,Coppia unita civilmente femminile con altri conviventi,3,1
san luca,Coppia unita civilmente femminile con altri conviventi,3,1
stadio-meloncello,Coppia unita civilmente femminile con altri conviventi,3,1
via del genio,Coppia unita civilmente femminile con altri conviventi,3,1
xxi aprile,Coppia unita civilmente femminile con altri conviventi,3,1
ravone,Madre con figli,3,14
san giuseppe,Madre con figli,3,68
san luca,Madre con figli,3,8
stadio-meloncello,Madre con figli,3,39
via del genio,Madre con figli,3,1
xxi aprile,Madre con figli,3,138
ravone,Madre con figli,5,1
san giuseppe,Madre con figli,5,2
san luca,Madre con figli,5,1
stadio-meloncello,Madre con figli,5,2
via del genio,Madre con figli,5,1
xxi aprile,Madre con figli,5,4
ravone,Padre con figli,3,3
san giuseppe,Padre con figli,3,14
san luca,Padre con figli,3,2
stadio-meloncello,Padre con figli,3,8
via del genio,Padre con figli,3,1
xxi aprile,Padre con figli,3,28
ravone,Padre con figli,6-10,1
san giuseppe,Padre con figli,6-10,1
san luca,Padre con figli,6-10,1
stadio-meloncello,Padre con figli,6-10,1
via del genio,Padre con figli,6-10,1
xxi aprile,Padre con figli,6-10,1
malpighi-1,Coniugi con altri membri conviventi,4,1
malpighi-2,Coniugi con altri membri conviventi,4,1
malpighi-1,Madre con figli,2,58
malpighi-2,Madre con figli,2,306
malpighi-1,Madre con figli e altri membri conviventi,5,1
malpighi-2,Madre con figli e altri membri conviventi,5,6
marconi-1,Altre tipologie familiari,5,1
marconi-2,Altre tipologie familiari,5,2
marconi-1,Coniugi,2,136
marconi-2,Coniugi,2,719
marconi-1,Padre con figli,2,16
marconi-2,Padre con figli,2,81
prati di caprara-ospedale maggiore,Coniugi con altri membri conviventi,4,1
scalo ravone,Coniugi con altri membri conviventi,4,1
velodromo,Coniugi con altri membri conviventi,4,2
via vittorio veneto,Coniugi con altri membri conviventi,4,2
zanardi,Coniugi con altri membri conviventi,4,2
prati di caprara-ospedale maggiore,Coniugi con figli,6-10,1
scalo ravone,Coniugi con figli,6-10,1
velodromo,Coniugi con figli,6-10,5
via vittorio veneto,Coniugi con figli,6-10,5
zanardi,Coniugi con figli,6-10,6
prati di caprara-ospedale maggiore,Coniugi con figli e altri membri conviventi,6-10,1
scalo ravone,Coniugi con figli e altri membri conviventi,6-10,1
velodromo,Coniugi con figli e altri membri conviventi,6-10,6
via vittorio veneto,Coniugi con figli e altri membri conviventi,6-10,6
zanardi,Coniugi con figli e altri membri conviventi,6-10,7
prati di caprara-ospedale maggiore,Madre con figli,5,1
scalo ravone,Madre con figli,5,1
velodromo,Madre con figli,5,1
via vittorio veneto,Madre con figli,5,1
zanardi,Madre con figli,5,1
prati di caprara-ospedale maggiore,Padre con figli,5,1
scalo ravone,Padre con figli,5,1
velodromo,Padre con figli,5,1
via vittorio veneto,Padre con figli,5,1
zanardi,Padre con figli,5,1
caab,Coniugi,2,27
cadriano-calamosco,Coniugi,2,51
fiera,Coniugi,2,2
michelino,Coniugi,2,272
pilastro,Coniugi,2,422
san donnino,Coniugi,2,174
scalo merci san donato,Coniugi,2,3
via del lavoro,Coniugi,2,480
via mondo,Coniugi,2,478
caab,Solo,1,63
cadriano-calamosco,Solo,1,123
fiera,Solo,1,3
michelino,Solo,1,652
pilastro,Solo,1,1011
san donnino,Solo,1,418
scalo merci san donato,Solo,1,6
via del lavoro,Solo,1,1150
via mondo,Solo,1,1147
osservanza,Coppia unita civilmente maschile,2,3
paderno,Coppia unita civilmente maschile,2,1
san michele in bosco,Coppia unita civilmente maschile,2,2
osservanza,Madre con figli e altri membri conviventi,3,34
paderno,Madre con figli e altri membri conviventi,3,13
san michele in bosco,Madre con figli e altri membri conviventi,3,22
osservanza,Madre con figli e altri membri conviventi,5,3
paderno,Madre con figli e altri membri conviventi,5,2
san michele in bosco,Madre con figli e altri membri conviventi,5,2
osservanza,Padre con figli,5,1
paderno,Padre con figli,5,1
san michele in bosco,Padre con figli,5,1
galvani-1,Coniugi con figli e altri membri conviventi,6-10,2
galvani-2,Coniugi con figli e altri membri conviventi,6-10,10
galvani-1,Madre con figli,3,22
galvani-2,Madre con figli,3,133
galvani-1,Madre con figli,5,1
galvani-2,Madre con figli,5,3
galvani-1,Padre con figli,3,5
galvani-2,Padre con figli,3,31
galvani-1,Padre con figli,4,1
galvani-2,Padre con figli,4,4
galvani-1,Sola,1,366
galvani-2,Sola,1,2310
irnerio-1,Altre tipologie familiari,2,99
irnerio-2,Altre tipologie familiari,2,270
irnerio-1,Coniugi con altri membri conviventi,3,4
irnerio-2,Coniugi con altri membri conviventi,3,9
irnerio-1,Coniugi con figli e altri membri conviventi,6-10,3
irnerio-2,Coniugi con figli e altri membri conviventi,6-10,7
irnerio-1,Padre con figli,2,27
irnerio-2,Padre con figli,2,73
irnerio-1,Padre con figli e altri membri conviventi,4,11
irnerio-2,Padre con figli e altri membri conviventi,4,31
chiesanuova,Padre con figli e altri membri conviventi,4,29
dagnini,Padre con figli e altri membri conviventi,4,37
giardini margherita,Padre con figli e altri membri conviventi,4,1
mezzofanti,Padre con figli e altri membri conviventi,4,29
siepelunga,Padre con figli e altri membri conviventi,4,18
bitone,Coppia unita civilmente maschile,2,4
cavedone,Coppia unita civilmente maschile,2,1
due madonne,Coppia unita civilmente maschile,2,1
fossolo,Coppia unita civilmente maschile,2,3
lungo savena,Coppia unita civilmente maschile,2,1
ospedale bellaria,Coppia unita civilmente maschile,2,1
pontevecchio,Coppia unita civilmente maschile,2,2
via arno,Coppia unita civilmente maschile,2,3
bitone,Madre con figli,4,17
cavedone,Madre con figli,4,5
due madonne,Madre con figli,4,5
fossolo,Madre con figli,4,14
lungo savena,Madre con figli,4,1
ospedale bellaria,Madre con figli,4,1
pontevecchio,Madre con figli,4,9
via arno,Madre con figli,4,12
battindarno,Sola,1,1156
canale di reno,Sola,1,826
villaggio della barca,Sola,1,784
aeroporto,Coniugi,2,35
bargellino,Coniugi,2,6
borgo centro,Coniugi,2,585
casteldebole,Coniugi,2,374
ducati-villaggio ina,Coniugi,2,228
la birra,Coniugi,2,144
lavino di mezzo,Coniugi,2,39
lungo reno,Coniugi,2,1
rigosa,Coniugi,2,98
triumvirato-pietra,Coniugi,2,398
via del vivaio,Coniugi,2,69
aeroporto,Coniugi con altri membri conviventi,4,1
bargellino,Coniugi con altri membri conviventi,4,1
borgo centro,Coniugi con altri membri conviventi,4,6
casteldebole,Coniugi con altri membri conviventi,4,4
ducati-villaggio ina,Coniugi con altri membri conviventi,4,2
la birra,Coniugi con altri membri conviventi,4,2
lavino di mezzo,Coniugi con altri membri conviventi,4,1
lungo reno,Coniugi con altri membri conviventi,4,1
rigosa,Coniugi con altri membri conviventi,4,1
triumvirato-pietra,Coniugi con altri membri conviventi,4,4
via del vivaio,Coniugi con altri membri conviventi,4,1
aeroporto,Madre con figli e altri membri conviventi,3,4
bargellino,Madre con figli e altri membri conviventi,3,1
borgo centro,Madre con figli e altri membri conviventi,3,65
casteldebole,Madre con figli e altri membri conviventi,3,42
ducati-villaggio ina,Madre con figli e altri membri conviventi,3,26
la birra,Madre con figli e altri membri conviventi,3,16
lavino di mezzo,Madre con figli e altri membri conviventi,3,5
lungo reno,Madre con figli e altri membri conviventi,3,1
rigosa,Madre con figli e altri membri conviventi,3,11
triumvirato-pietra,Madre con figli e altri membri conviventi,3,44
via del vivaio,Madre con figli e altri membri conviventi,3,8
aeroporto,Madre con figli e altri membri conviventi,4,2
bargellino,Madre con figli e altri membri conviventi,4,1
borgo centro,Madre con figli e altri membri conviventi,4,31
casteldebole,Madre con figli e altri membri conviventi,4,20
ducati-villaggio ina,Madre con figli e altri membri conviventi,4,12
la birra,Madre con figli e altri membri conviventi,4,8
lavino di mezzo,Madre con figli e altri membri conviventi,4,3
lungo reno,Madre con figli e altri membri conviventi,4,1
rigosa,Madre con figli e altri membri conviventi,4,6
triumvirato-pietra,Madre con figli e altri membri conviventi,4,21
via del vivaio,Madre con figli e altri membri conviventi,4,4
arcoveggio,Coniugi con figli,3,342
caserme rosse-manifattura,Coniugi con figli,3,71
cnr,Coniugi con figli,3,2
ex mercato ortofrutticolo,Coniugi con figli,3,57
piazza dell'unita',Coniugi con figli,3,361
via ferrarese,Coniugi con figli,3,392
arcoveggio,Coniugi con figli,4,271
caserme rosse-manifattura,Coniugi con figli,4,57
cnr,Coniugi con figli,4,2
ex mercato ortofrutticolo,Coniugi con figli,4,45
piazza dell'unita',Coniugi con figli,4,287
via ferrarese,Coniugi con figli,4,312
arcoveggio,Madre con figli,4,17
caserme rosse-manifattura,Madre con figli,4,4
cnr,Madre con figli,4,1
ex mercato ortofrutticolo,Madre con figli,4,3
piazza dell'unita',Madre con figli,4,18
via ferrarese,Madre con figli,4,19
croce coperta,Coniugi con altri membri conviventi,4,3
la dozza,Coniugi con altri membri conviventi,4,1
mulino del gomito,Coniugi con altri membri conviventi,4,1
san savino,Coniugi con altri membri conviventi,4,5
savena abbandonato,Coniugi con altri membri conviventi,4,1
croce coperta,Coniugi con figli,3,249
la dozza,Coniugi con figli,3,57
mulino del gomito,Coniugi con figli,3,30
san savino,Coniugi con figli,3,382
savena abbandonato,Coniugi con figli,3,42
croce coperta,Madre con figli e altri membri conviventi,3,49
la dozza,Madre con figli e altri membri conviventi,3,11
mulino del gomito,Madre con figli e altri membri conviventi,3,6
san savino,Madre con figli e altri membri conviventi,3,74
savena abbandonato,Madre con figli e altri membri conviventi,3,9
croce coperta,Madre con figli e altri membri conviventi,4,21
la dozza,Madre con figli e altri membri conviventi,4,5
mulino del gomito,Madre con figli e altri membri conviventi,4,3
san savino,Madre con figli e altri membri conviventi,4,32
savena abbandonato,Madre con figli e altri membri conviventi,4,4
malpighi-1,Solo,1,333
malpighi-2,Solo,1,1764
marconi-1,Coppia unita civilmente femminile con altri conviventi,3,1
marconi-2,Coppia unita civilmente femminile con altri conviventi,3,2
marconi-1,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1
marconi-2,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1
marconi-1,Padre con figli,3,4
marconi-2,Padre con figli,3,20
prati di caprara-ospedale maggiore,Altre tipologie familiari,3,1
scalo ravone,Altre tipologie familiari,3,1
velodromo,Altre tipologie familiari,3,11
via vittorio veneto,Altre tipologie familiari,3,10
zanardi,Altre tipologie familiari,3,12
prati di caprara-ospedale maggiore,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
scalo ravone,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
velodromo,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
via vittorio veneto,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1
zanardi,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,2
prati di caprara-ospedale maggiore,Madre con figli,2,14
scalo ravone,Madre con figli,2,5
velodromo,Madre con figli,2,170
via vittorio veneto,Madre con figli,2,158
zanardi,Madre con figli,2,192
prati di caprara-ospedale maggiore,Madre con figli,4,1
scalo ravone,Madre con figli,4,1
velodromo,Madre con figli,4,6
via vittorio veneto,Madre con figli,4,6
zanardi,Madre con figli,4,7
prati di caprara-ospedale maggiore,Padre con figli,4,1
scalo ravone,Padre con figli,4,1
velodromo,Padre con figli,4,2
via vittorio veneto,Padre con figli,4,2
zanardi,Padre con figli,4,2
caab,Coniugi con figli,Oltre 10,1
cadriano-calamosco,Coniugi con figli,Oltre 10,1
fiera,Coniugi con figli,Oltre 10,1
michelino,Coniugi con figli,Oltre 10,1
pilastro,Coniugi con figli,Oltre 10,1
san donnino,Coniugi con figli,Oltre 10,1
scalo merci san donato,Coniugi con figli,Oltre 10,1
via del lavoro,Coniugi con figli,Oltre 10,1
via mondo,Coniugi con figli,Oltre 10,1
caab,Madre con figli e altri membri conviventi,Oltre 10,1
cadriano-calamosco,Madre con figli e altri membri conviventi,Oltre 10,1
