area_name,total_population
aeroporto,464
agucchi,4409
arcoveggio,10319
bargellino,72
battindarno,8769
beverara,7044
bitone,10826
borgo centro,7915
caab,438
cadriano-calamosco,855
canale di reno,6261
caserme rosse-manifattura,2145
casteldebole,5054
cavedone,3153
chiesanuova,7464
cirenaica,9190
cnr,48
corelli,8789
croce coperta,6005
croce del biacco,4461
dagnini,9554
ducati-villaggio ina,3080
due madonne,3035
emilia ponente,9003
ex mercato ortofrutticolo,1714
fiera,21
fossolo,8724
galvani-1,1775
galvani-2,11224
giardini margherita,32
guelfa,7042
irnerio-1,3644
irnerio-2,10000
la birra,1939
la dozza,1359
la noce,1522
laghetti del rosario,486
lavino di mezzo,526
lazzaretto,913
lungo reno,13
lungo savena,179
malpighi-1,1847
malpighi-2,9796
marconi-1,2340
marconi-2,12414
mengoli,10005
mezzofanti,7486
michelino,4562
monte donato,1433
mulino del gomito,722
ospedale bellaria,120
ospedale sant'orsola,79
osservanza,4376
paderno,1654
pescarola,4527
piazza dell'unita',10910
pilastro,7076
ponte savena-la bastia,1333
pontevecchio,5306
prati di caprara-ospedale maggiore,476
ravone,1218
rigosa,1326
roveri,1263
san donnino,2922
san giuseppe,6330
san luca,666
san michele in bosco,2725
san savino,9212
savena abbandonato,1002
scalo merci san donato,40
scalo ravone,144
scandellara,958
siepelunga,4471
stadio-meloncello,3627
stradelli guelfi,305
tiro a segno,151
triumvirato-pietra,5377
velodromo,5801
via arno,7129
via del genio,17
via del lavoro,8051
via del vivaio,929
via ferrarese,11851
via larga,2196
via mondo,8026
via toscana,9635
via vittorio veneto,5391
villaggio della barca,5943
xxi aprile,12839
zanardi,6571
