area_id,area_name,quartiere_name,zona_name,sex,age_group,citizenship,population
99,non indicata,Senza fissa dimora,Senza fissa dimora,Maschi,02 e prima,Straniera,1
99,non indicata,Senza fissa dimora,Senza fissa dimora,Maschi,06-14,Straniera,2
99,non indicata,Senza fissa dimora,Senza fissa dimora,Maschi,25-34,Italiana,5
99,non indicata,Senza fissa dimora,Senza fissa dimora,Maschi,55-64,Italiana,123
99,non indicata,Senza fissa dimora,Senza fissa dimora,Maschi,65 e oltre,Italiana,88
1,Lavino di Mezzo,Borgo Panigale - Reno,Borgo Panigale,Maschi,15-24,Straniera,5
1,Lavino di Mezzo,Borgo Panigale - Reno,Borgo Panigale,Maschi,65 e oltre,Italiana,33
3,Bargellino,Borgo Panigale - Reno,Borgo Panigale,Femmine,06-14,Italiana,2
4,Aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,02 e prima,Italiana,4
4,Aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Italiana,14
4,Aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Straniera,5
7,Ducati-Villaggio Ina,Borgo Panigale - Reno,Borgo Panigale,Femmine,03-05,Straniera,5
7,Ducati-Villaggio Ina,Borgo Panigale - Reno,Borgo Panigale,Femmine,06-14,Italiana,68
7,Ducati-Villaggio Ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,06-14,Italiana,113
7,Ducati-Villaggio Ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,06-14,Straniera,17
7,Ducati-Villaggio Ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,55-64,Straniera,11
8,Borgo Centro,Borgo Panigale - Reno,Borgo Panigale,Femmine,03-05,Italiana,58
8,Borgo Centro,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Straniera,95
8,Borgo Centro,Borgo Panigale - Reno,Borgo Panigale,Maschi,65 e oltre,Italiana,708
11,Casteldebole,Borgo Panigale - Reno,Borgo Panigale,Femmine,02 e prima,Straniera,3
12,Caserme Rosse-Manifattura,Navile,Bolognina,Femmine,25-34,Italiana,30
12,Caserme Rosse-Manifattura,Navile,Bolognina,Femmine,45-54,Straniera,53
12,Caserme Rosse-Manifattura,Navile,Bolognina,Femmine,65 e oltre,Straniera,32
14,Arcoveggio,Navile,Bolognina,Maschi,15-24,Straniera,120
16,Ex Mercato Ortofrutticolo,Navile,Bolognina,Femmine,03-05,Italiana,27
17,Piazza dell'Unita',Navile,Bolognina,Femmine,65 e oltre,Straniera,145
18,San Savino,Navile,Corticella,Femmine,03-05,Straniera,19
18,San Savino,Navile,Corticella,Femmine,06-14,Italiana,262
18,San Savino,Navile,Corticella,Maschi,45-54,Italiana,567
19,Savena Abbandonato,Navile,Corticella,Femmine,02 e prima,Italiana,9
19,Savena Abbandonato,Navile,Corticella,Femmine,65 e oltre,Italiana,86
19,Savena Abbandonato,Navile,Corticella,Maschi,02 e prima,Italiana,2
20,Croce Coperta,Navile,Corticella,Femmine,02 e prima,Straniera,12
20,Croce Coperta,Navile,Corticella,Maschi,02 e prima,Straniera,16
21,Mulino del Gomito,Navile,Corticella,Femmine,15-24,Italiana,15
22,La Dozza,Navile,Corticella,Maschi,06-14,Italiana,37
22,La Dozza,Navile,Corticella,Maschi,25-34,Straniera,3
23,Laghetti del Rosario,Navile,Lame,Femmine,55-64,Italiana,35
24,La Noce,Navile,Lame,Femmine,02 e prima,Italiana,13
24,La Noce,Navile,Lame,Femmine,25-34,Italiana,36
24,La Noce,Navile,Lame,Maschi,25-34,Straniera,8
25,Tiro A Segno,Navile,Lame,Maschi,06-14,Italiana,5
25,Tiro A Segno,Navile,Lame,Maschi,45-54,Italiana,9
50,Osservanza,Santo Stefano,Colli,Maschi,55-64,Italiana,288
50,Osservanza,Santo Stefano,Colli,Maschi,65 e oltre,Straniera,10
51,San Michele in Bosco,Santo Stefano,Colli,Femmine,06-14,Straniera,3
51,San Michele in Bosco,Santo Stefano,Colli,Femmine,25-34,Italiana,72
52,Paderno,Santo Stefano,Colli,Femmine,25-34,Straniera,1
52,Paderno,Santo Stefano,Colli,Maschi,25-34,Italiana,32
53,Galvani-1,Santo Stefano,Galvani,Maschi,15-24,Italiana,67
54,Galvani-2,Santo Stefano,Galvani,Femmine,45-54,Italiana,741
55,Giardini Margherita,Santo Stefano,Murri,Femmine,15-24,Italiana,2
56,Mezzofanti,Santo Stefano,Murri,Femmine,02 e prima,Italiana,50
56,Mezzofanti,Santo Stefano,Murri,Femmine,06-14,Italiana,249
56,Mezzofanti,Santo Stefano,Murri,Femmine,35-44,Italiana,386
57,Siepelunga,Santo Stefano,Murri,Femmine,15-24,Straniera,16
57,Siepelunga,Santo Stefano,Murri,Femmine,25-34,Straniera,20
57,Siepelunga,Santo Stefano,Murri,Maschi,02 e prima,Italiana,42
58,Dagnini,Santo Stefano,Murri,Femmine,25-34,Straniera,55
58,Dagnini,Santo Stefano,Murri,Femmine,65 e oltre,Straniera,77
59,Chiesanuova,Santo Stefano,Murri,Maschi,02 e prima,Italiana,80
59,Chiesanuova,Santo Stefano,Murri,Maschi,03-05,Straniera,8
59,Chiesanuova,Santo Stefano,Murri,Maschi,06-14,Straniera,27
60,Irnerio-1,Santo Stefano,Irnerio,Femmine,25-34,Straniera,28
61,Irnerio-2,Santo Stefano,Irnerio,Femmine,25-34,Straniera,96
61,Irnerio-2,Santo Stefano,Irnerio,Maschi,25-34,Italiana,333
61,Irnerio-2,Santo Stefano,Irnerio,Maschi,45-54,Straniera,95
61,Irnerio-2,Santo Stefano,Irnerio,Maschi,65 e oltre,Italiana,888
62,Cirenaica,San Donato - San Vitale,San Vitale,Femmine,45-54,Italiana,564
62,Cirenaica,San Donato - San Vitale,San Vitale,Femmine,55-64,Straniera,87
62,Cirenaica,San Donato - San Vitale,San Vitale,Femmine,65 e oltre,Straniera,96
63,Scandellara,San Donato - San Vitale,San Vitale,Maschi,03-05,Italiana,21
64,Via Larga,San Donato - San Vitale,San Vitale,Maschi,06-14,Straniera,3
65,Roveri,San Donato - San Vitale,San Vitale,Femmine,03-05,Italiana,9
65,Roveri,San Donato - San Vitale,San Vitale,Femmine,25-34,Straniera,5
65,Roveri,San Donato - San Vitale,San Vitale,Femmine,65 e oltre,Straniera,8
65,Roveri,San Donato - San Vitale,San Vitale,Maschi,03-05,Italiana,5
66,Ospedale Sant'Orsola,San Donato - San Vitale,San Vitale,Femmine,25-34,Straniera,1
67,Mengoli,San Donato - San Vitale,San Vitale,Femmine,03-05,Straniera,15
67,Mengoli,San Donato - San Vitale,San Vitale,Maschi,06-14,Italiana,291
68,Guelfa,San Donato - San Vitale,San Vitale,Femmine,06-14,Italiana,178
69,Croce del Biacco,San Donato - San Vitale,San Vitale,Femmine,06-14,Straniera,44
69,Croce del Biacco,San Donato - San Vitale,San Vitale,Maschi,15-24,Italiana,157
99,non indicata,Senza fissa dimora,Senza fissa dimora,Femmine,45-54,Italiana,15
99,non indicata,Senza fissa dimora,Senza fissa dimora,Femmine,45-54,Straniera,7
47,Via del Lavoro,San Donato - San Vitale,San Donato,Maschi,25-34,Italiana,227
48,Michelino,San Donato - San Vitale,San Donato,Femmine,65 e oltre,Straniera,44
49,Via Mondo,San Donato - San Vitale,San Donato,Femmine,06-14,Straniera,77
50,Osservanza,Santo Stefano,Colli,Maschi,25-34,Italiana,113
50,Osservanza,Santo Stefano,Colli,Maschi,35-44,Straniera,33
51,San Michele in Bosco,Santo Stefano,Colli,Femmine,45-54,Italiana,196
51,San Michele in Bosco,Santo Stefano,Colli,Maschi,35-44,Italiana,151
52,Paderno,Santo Stefano,Colli,Maschi,25-34,Italiana,29
