year,area_name,n_workers_private,n_workers_public,n_workers_schools
2023,IRNERIO-2,6936,6791,1448
2023,MARCONI-2,9303,2734,2307
2023,MALPIGHI-2,3735,3022,6365
2023,GALVANI-2,4855,1863,2960
2023,OSPEDALE SANT'ORSOLA,21,8573,0
2023,CROCE COPERTA,7125,62,424
2023,ROVERI,6955,133,0
2023,BEVERARA,4606,717,1165
2023,PIAZZA DELL'UNITA',2611,395,3337
2023,ARCOVEGGIO,1653,534,4085
2023,FIERA,3997,1969,0
2023,MARCONI-1,3733,278,1275
2023,VIA FERRARESE,4525,200,480
2023,IRNERIO-1,3952,688,72
2023,MENGOLI,2363,308,1952
2023,GALVANI-1,4183,121,0
2023,MALPIGHI-1,2916,1227,0
2023,CIRENAICA,2449,378,1303
2023,DUCATI-VILLAGGIO INA,2908,274,917
2023,FOSSOLO,1709,282,2099
2023,EMILIA PONENTE,3049,109,695
2023,VIA DEL LAVORO,2556,320,810
2023,CAAB,3157,513,0
2023,MICHELINO,1017,349,2095
2023,CHIESANUOVA,1037,253,2138
2023,ZANARDI,2729,384,264
2023,MEZZOFANTI,2738,58,508
2023,PRATI DI CAPRARA-OSPEDALE MAGGIORE,26,3237,0
2023,VIA VITTORIO VENETO,1726,48,1359
2023,DAGNINI,1476,240,1377
2023,XXI APRILE,1843,189,748
2023,SAN MICHELE IN BOSCO,885,1381,498
2023,LAZZARETTO,1582,327,828
2023,VILLAGGIO DELLA BARCA,485,386,1847
2023,VIA TOSCANA,1367,150,960
2023,BATTINDARNO,1180,241,1033
2023,VIA LARGA,2010,423,0
2023,BITONE,1567,165,698
2023,AGUCCHI,1444,133,770
2023,SAN SAVINO,1119,165,1051
2023,BORGO CENTRO,1541,142,513
2023,SAN GIUSEPPE,1221,99,819
2023,TRIUMVIRATO-PIETRA,1870,53,185
2023,CORELLI,855,141,1076
2023,BARGELLINO,2066,0,0
2023,GUELFA,1695,52,281
2023,VIA MONDO,1129,186,569
2023,AEROPORTO,1749,133,0
2023,CROCE DEL BIACCO,1619,74,162
2023,EX MERCATO ORTOFRUTTICOLO,348,1336,95
2023,CASTELDEBOLE,1230,55,486
2023,CANALE DI RENO,1286,41,367
2023,VELODROMO,1304,73,249
2023,VIA ARNO,766,309,549
2023,PONTEVECCHIO,835,271,341
2023,OSPEDALE BELLARIA,72,1341,0
2023,CASERME ROSSE-MANIFATTURA,617,370,341
2023,CADRIANO-CALAMOSCO,1216,0,0
2023,PILASTRO,575,94,541
2023,RIGOSA,1025,0,151
2023,SAVENA ABBANDONATO,222,331,523
2023,SCANDELLARA,50,123,887
2023,OSSERVANZA,910,62,50
2023,STADIO-MELONCELLO,667,38,275
2023,CNR,225,594,0
2023,RAVONE,141,102,554
2023,SIEPELUNGA,796,0,0
2023,DUE MADONNE,242,43,422
2023,CAVEDONE,171,56,475
2023,MULINO DEL GOMITO,541,0,67
2023,PESCAROLA,369,26,183
2023,SAN DONNINO,162,109,264
2023,LA DOZZA,136,106,216
2023,LAGHETTI DEL ROSARIO,445,0,0
2023,GIARDINI MARGHERITA,27,29,380
2023,PADERNO,293,3,81
2023,LA BIRRA,169,14,192
2023,SCALO RAVONE,351,0,0
2023,MONTE DONATO,210,81,0
2023,LA NOCE,260,13,0
2023,PONTE SAVENA-LA BASTIA,198,0,0
2023,SCALO MERCI SAN DONATO,191,0,0
2023,VIA DEL VIVAIO,148,0,0
2023,TIRO A SEGNO,23,4,113
2023,LAVINO DI MEZZO,111,0,0
2023,SAN LUCA,84,0,0
2023,STRADELLI GUELFI,73,0,0
2023,LUNGO SAVENA,68,0,0
2023,VIA DEL GENIO,4,0,0
2023,LUNGO RENO,1,0,0
