quartiere_name,zona_name,household_type,household_size,num_households,population
Borgo Panigale - Reno,Barca,Altre tipologie familiari,6-10,4,28
Borgo Panigale - Reno,Barca,Coniugi con figli e altri membri conviventi,4,69,276
Borgo Panigale - Reno,Barca,Padre con figli,4,1,4
Borgo Panigale - Reno,Barca,Padre con figli e altri membri conviventi,3,151,453
Borgo Panigale - Reno,Barca,Padre con figli e altri membri conviventi,6-10,7,46
Borgo Panigale - Reno,Borgo Panigale,Madre con figli e altri membri conviventi,6-10,10,65
Borgo Panigale - Reno,Borgo Panigale,Padre con figli,2,192,384
Borgo Panigale - Reno,Borgo Panigale,Padre con figli,5,1,5
Borgo Panigale - Reno,Santa Viola,Altre tipologie familiari,5,4,20
Borgo Panigale - Reno,Santa Viola,Coniugi con altri membri conviventi,6-10,3,21
Borgo Panigale - Reno,Santa Viola,Madre con figli,5,2,10
Borgo Panigale - Reno,Santa Viola,Padre con figli,2,73,146
Borgo Panigale - Reno,Santa Viola,Padre con figli e altri membri conviventi,4,55,220
Navile,Bolognina,Altre tipologie familiari,3,71,213
Navile,Bolognina,Coniugi con altri membri conviventi,3,78,234
Navile,Bolognina,Coniugi con figli,6-10,66,416
Navile,Bolognina,Padre con figli e altri membri conviventi,6-10,18,120
Navile,Corticella,Coniugi,2,1415,2830
Navile,Corticella,Coniugi con figli,4,595,2380
Navile,Corticella,Coppia unita civilmente femminile,2,7,14
Navile,Corticella,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1,3
Navile,Corticella,Coppia unita civilmente maschile,2,6,12
Navile,Lame,Altre tipologie familiari,6-10,2,17
Navile,Lame,Coniugi con figli e altri membri conviventi,6-10,37,247
Navile,Lame,Madre con figli,3,140,420
Navile,Lame,Solo,1,1629,1629
Porto - Saragozza,Costa Saragozza,Coniugi con figli e altri membri conviventi,6-10,27,179
Porto - Saragozza,Costa Saragozza,Coniugi con figli e altri membri conviventi,Oltre 10,2,24
Porto - Saragozza,Costa Saragozza,Coppia unita civilmente femminile con altri conviventi,3,1,3
Porto - Saragozza,Costa Saragozza,Madre con figli,3,264,792
Porto - Saragozza,Costa Saragozza,Madre con figli,5,7,35
Porto - Saragozza,Costa Saragozza,Padre con figli,3,53,159
Porto - Saragozza,Costa Saragozza,Padre con figli,6-10,1,7
Porto - Saragozza,Malpighi,Coniugi con altri membri conviventi,4,1,4
Porto - Saragozza,Malpighi,Madre con figli,2,363,726
Porto - Saragozza,Malpighi,Madre con figli e altri membri conviventi,5,6,30
Porto - Saragozza,Marconi,Altre tipologie familiari,5,2,10
Porto - Saragozza,Marconi,Coniugi,2,854,1708
Porto - Saragozza,Marconi,Padre con figli,2,96,192
Porto - Saragozza,Saffi,Coniugi con altri membri conviventi,4,5,20
Porto - Saragozza,Saffi,Coniugi con figli,6-10,15,92
Porto - Saragozza,Saffi,Coniugi con figli e altri membri conviventi,6-10,19,122
Porto - Saragozza,Saffi,Madre con figli,5,2,10
Porto - Saragozza,Saffi,Padre con figli,5,1,5
San Donato - San Vitale,San Donato,Coniugi,2,1904,3808
San Donato - San Vitale,San Donato,Solo,1,4568,4568
San Donato - San Vitale,San Vitale,Altre tipologie familiari,5,2,10
San Donato - San Vitale,San Vitale,Coniugi con altri membri conviventi,3,69,207
San Donato - San Vitale,San Vitale,Madre con figli,4,48,192
San Donato - San Vitale,San Vitale,Madre con figli e altri membri conviventi,6-10,6,40
San Donato - San Vitale,San Vitale,Sola,1,5885,5885
Santo Stefano,Colli,Coppia unita civilmente maschile,2,5,10
Santo Stefano,Colli,Madre con figli e altri membri conviventi,3,68,204
Santo Stefano,Colli,Madre con figli e altri membri conviventi,5,6,30
Santo Stefano,Colli,Padre con figli,5,1,5
Santo Stefano,Galvani,Coniugi con figli e altri membri conviventi,6-10,11,69
Santo Stefano,Galvani,Madre con figli,3,154,462
Santo Stefano,Galvani,Madre con figli,5,3,15
Santo Stefano,Galvani,Padre con figli,3,35,105
Santo Stefano,Galvani,Padre con figli,4,4,16
Santo Stefano,Galvani,Sola,1,2675,2675
Santo Stefano,Irnerio,Altre tipologie familiari,2,368,736
Santo Stefano,Irnerio,Coniugi con altri membri conviventi,3,12,36
Santo Stefano,Irnerio,Coniugi con figli e altri membri conviventi,6-10,9,60
Santo Stefano,Irnerio,Padre con figli,2,99,198
Santo Stefano,Irnerio,Padre con figli e altri membri conviventi,4,41,164
Santo Stefano,Murri,Padre con figli e altri membri conviventi,4,111,444
Savena,Mazzini,Coppia unita civilmente maschile,2,11,22
Savena,Mazzini,Madre con figli,4,60,240
Savena,San Ruffillo,Madre con figli e altri membri conviventi,5,21,105
Senza fissa dimora,Senza fissa dimora,Coniugi,2,5,10
Senza fissa dimora,Senza fissa dimora,Padre con figli,2,1,2
Borgo Panigale - Reno,Barca,Sola,1,2764,2764
Borgo Panigale - Reno,Borgo Panigale,Coniugi,2,1971,3942
Borgo Panigale - Reno,Borgo Panigale,Coniugi con altri membri conviventi,4,17,68
Borgo Panigale - Reno,Borgo Panigale,Madre con figli e altri membri conviventi,3,218,654
Borgo Panigale - Reno,Borgo Panigale,Madre con figli e altri membri conviventi,4,102,408
Borgo Panigale - Reno,Santa Viola,Coniugi con figli,5,80,400
Borgo Panigale - Reno,Santa Viola,Coniugi con figli,6-10,18,111
Borgo Panigale - Reno,Santa Viola,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,1,3
Navile,Bolognina,Coniugi con figli,3,1223,3669
Navile,Bolognina,Coniugi con figli,4,971,3884
Navile,Bolognina,Madre con figli,4,58,232
Navile,Corticella,Coniugi con altri membri conviventi,4,8,32
Navile,Corticella,Coniugi con figli,3,758,2274
Navile,Corticella,Madre con figli e altri membri conviventi,3,147,441
Navile,Corticella,Madre con figli e altri membri conviventi,4,63,252
Porto - Saragozza,Malpighi,Solo,1,2096,2096
Porto - Saragozza,Marconi,Coppia unita civilmente femminile con altri conviventi,3,2,6
Porto - Saragozza,Marconi,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1,4
Porto - Saragozza,Marconi,Padre con figli,3,23,69
Porto - Saragozza,Saffi,Altre tipologie familiari,3,32,96
Porto - Saragozza,Saffi,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,3,9
Porto - Saragozza,Saffi,Madre con figli,2,536,1072
Porto - Saragozza,Saffi,Madre con figli,4,19,76
Porto - Saragozza,Saffi,Padre con figli,4,5,20
San Donato - San Vitale,San Donato,Coniugi con figli,Oltre 10,1,11
San Donato - San Vitale,San Donato,Madre con figli e altri membri conviventi,Oltre 10,1,12
San Donato - San Vitale,San Vitale,Padre con figli,4,10,40
Santo Stefano,Colli,Coniugi con altri membri conviventi,4,1,4
Santo Stefano,Colli,Padre con figli e altri membri conviventi,4,38,152
Santo Stefano,Galvani,Altre tipologie familiari,3,17,51
Santo Stefano,Galvani,Madre con figli,6-10,1,6
Santo Stefano,Irnerio,Altre tipologie familiari,4,4,16
Santo Stefano,Irnerio,Madre con figli e altri membri conviventi,3,105,315
Santo Stefano,Irnerio,Madre con figli e altri membri conviventi,4,39,156
Savena,Mazzini,Padre con figli e altri membri conviventi,6-10,14,87
Savena,Mazzini,Solo,1,4171,4171
Savena,San Ruffillo,Coniugi con altri membri conviventi,5,4,20
Savena,San Ruffillo,Coniugi con figli,4,689,2756
Savena,San Ruffillo,Coniugi con figli,5,121,605
Savena,San Ruffillo,Coniugi con figli,6-10,26,160
Savena,San Ruffillo,Coppia unita civilmente femminile con figli ed eventuali conviventi,3,2,6
Savena,San Ruffillo,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1,4
Savena,San Ruffillo,Madre con figli,3,209,627
Savena,San Ruffillo,Madre con figli e altri membri conviventi,6-10,5,32
Senza fissa dimora,Senza fissa dimora,Solo,1,604,604
Borgo Panigale - Reno,Barca,Altre tipologie familiari,3,31,93
Borgo Panigale - Reno,Barca,Altre tipologie familiari,4,12,48
Borgo Panigale - Reno,Barca,Altre tipologie familiari,5,4,20
Borgo Panigale - Reno,Barca,Coniugi,2,1627,3254
Borgo Panigale - Reno,Barca,Coniugi con altri membri conviventi,5,3,15
Borgo Panigale - Reno,Barca,Madre con figli,6-10,4,25
Borgo Panigale - Reno,Barca,Padre con figli e altri membri conviventi,4,84,336
Borgo Panigale - Reno,Barca,Solo,1,2101,2101
Borgo Panigale - Reno,Borgo Panigale,Altre tipologie familiari,3,58,174
Borgo Panigale - Reno,Borgo Panigale,Coniugi con altri membri conviventi,3,59,177
Borgo Panigale - Reno,Borgo Panigale,Coniugi con figli,6-10,50,322
Borgo Panigale - Reno,Borgo Panigale,Coppia unita civilmente femminile,2,4,8
Borgo Panigale - Reno,Borgo Panigale,Solo,1,3136,3136
Borgo Panigale - Reno,Santa Viola,Coniugi con altri membri conviventi,3,31,93
Borgo Panigale - Reno,Santa Viola,Coniugi con figli e altri membri conviventi,6-10,25,161
Borgo Panigale - Reno,Santa Viola,Madre con figli,3,99,297
Borgo Panigale - Reno,Santa Viola,Madre con figli e altri membri conviventi,5,8,40
Navile,Bolognina,Altre tipologie familiari,5,9,45
Navile,Bolognina,Coniugi,2,1963,3926
Navile,Bolognina,Coniugi con altri membri conviventi,6-10,7,44
Navile,Bolognina,Coniugi con figli,5,210,1050
Navile,Bolognina,Coppia unita civilmente femminile,2,11,22
Navile,Bolognina,Coppia unita civilmente maschile,2,23,46
Navile,Bolognina,Madre con figli,2,976,1952
Navile,Bolognina,Madre con figli e altri membri conviventi,4,169,676
Navile,Bolognina,Madre con figli e altri membri conviventi,6-10,17,111
Navile,Bolognina,Padre con figli,6-10,1,6
Navile,Corticella,Coniugi con altri membri conviventi,6-10,1,6
Navile,Corticella,Madre con figli,4,19,76
Navile,Lame,Altre tipologie familiari,4,9,36
Navile,Lame,Coniugi con figli,6-10,42,261
Navile,Lame,Padre con figli e altri membri conviventi,3,105,315
Navile,Lame,Padre con figli e altri membri conviventi,4,63,252
Navile,Lame,Padre con figli e altri membri conviventi,5,12,60
Porto - Saragozza,Costa Saragozza,Coniugi con altri membri conviventi,3,38,114
Porto - Saragozza,Costa Saragozza,Coniugi con figli,3,974,2922
Porto - Saragozza,Costa Saragozza,Madre con figli,2,738,1476
Porto - Saragozza,Costa Saragozza,Padre con figli e altri membri conviventi,3,167,501
Porto - Saragozza,Costa Saragozza,Padre con figli e altri membri conviventi,4,98,392
Porto - Saragozza,Malpighi,Coniugi,2,665,1330
Porto - Saragozza,Malpighi,Coppia unita civilmente femminile con figli ed eventuali conviventi,4,1,4
Porto - Saragozza,Malpighi,Madre con figli e altri membri conviventi,6-10,1,7
Porto - Saragozza,Malpighi,Padre con figli e altri membri conviventi,3,75,225
Porto - Saragozza,Marconi,Altre tipologie familiari,2,343,686
Porto - Saragozza,Marconi,Coniugi con altri membri conviventi,5,1,5
Porto - Saragozza,Marconi,Coniugi con figli e altri membri conviventi,5,20,100
Porto - Saragozza,Saffi,Coniugi con figli,3,639,1917
Porto - Saragozza,Saffi,Madre con figli,3,175,525
Porto - Saragozza,Saffi,Madre con figli e altri membri conviventi,3,146,438
San Donato - San Vitale,San Donato,Coniugi con figli e altri membri conviventi,6-10,130,911
San Donato - San Vitale,San Donato,Coniugi con figli e altri membri conviventi,Oltre 10,8,98
San Donato - San Vitale,San Donato,Coppia unita civilmente femminile,2,8,16
San Donato - San Vitale,San Donato,Coppia unita civilmente femminile con altri conviventi,3,1,3
San Donato - San Vitale,San Donato,Madre con figli,4,48,192
San Donato - San Vitale,San Donato,Padre con figli,3,47,141
San Donato - San Vitale,San Donato,Padre con figli e altri membri conviventi,Oltre 10,1,11
San Donato - San Vitale,San Vitale,Coniugi con altri membri conviventi,4,10,40
San Donato - San Vitale,San Vitale,Padre con figli e altri membri conviventi,5,29,145
Santo Stefano,Colli,Altre tipologie familiari,4,9,36
Santo Stefano,Colli,Coniugi con figli,4,309,1236
Santo Stefano,Colli,Coniugi con figli,5,95,475
Santo Stefano,Colli,Coniugi con figli e altri membri conviventi,6-10,8,53
Santo Stefano,Colli,Madre con figli e altri membri conviventi,6-10,7,45
Santo Stefano,Colli,Padre con figli,3,29,87
Santo Stefano,Colli,Padre con figli e altri membri conviventi,5,9,45
Santo Stefano,Galvani,Altre tipologie familiari,2,323,646
Santo Stefano,Galvani,Coppia unita civilmente femminile,2,1,2
