area_name,n_taxpayers,taxable_income_irpef,taxable_income_additional,average_income
Aeroporto,333,10070117,9927705,30240.59
Bargellino,59,1697916,1688867,28778.24
Bitone,8290,211500440,205284053,25512.72
CNR,40,864886,822316,21622.15
Caserme Rosse-Manifattura,1627,36249607,35044168,22280.03
Croce Coperta,4617,126605214,123480588,27421.53
Ex Mercato Ortofrutticolo,975,27124918,26550029,27820.43
Fiera,14,339331,324003,24237.93
Galvani-1,1323,81122812,79865833,61317.32
Irnerio-1,2825,113353886,110992209,40125.27
La Noce,1130,27451251,26813394,24293.14
Lavino di Mezzo,375,9095114,8889875,24253.64
Lazzaretto,648,18818070,18424426,29040.23
Mengoli,7642,228753057,223038950,29933.66
Monte Donato,1108,49920270,48664527,45054.4
Paderno,1185,65702042,63723364,55444.76
Piazza dell'Unita',7619,176747039,171128596,23198.19
Pilastro,4911,98953941,95521063,20149.45
Pontevecchio,4037,104195797,101056924,25810.2
Prati di Caprara-Ospedale Maggiore,337,9714104,9530991,28825.23
Roveri,835,16911133,16489926,20252.85
SENZA FISSA DIMORA,296,2979288,2872264,10065.16
San Donnino,2252,53246009,51565480,23643.88
San Michele in Bosco,1680,89131684,86716889,53054.57
San Savino,7034,173576832,168316469,24676.83
Savena Abbandonato,735,18631682,17795152,25349.23
Scandellara,660,20706865,20350676,31374.04
Velodromo,4506,123802845,120729054,27475.11
Via Arno,5766,161484109,157988723,28006.26
Via Vittorio Veneto,4244,117190395,114026673,27613.19
XXI Aprile,9849,295717824,288643603,30025.16
Agucchi,3299,85264085,82706161,25845.43
Arcoveggio,7869,194980924,188363198,24778.36
Beverara,5292,131765313,128438972,24898.96
Borgo Centro,5968,142135484,137911462,23816.27
CAAB,300,6588740,6340813,21962.47
Cadriano-Calamosco,610,21335707,20927691,34976.57
Canale di Reno,4925,139047301,135125701,28232.95
Casteldebole,3884,98648354,96208831,25398.65
Cavedone,2238,52928121,51416747,23649.74
Chiesanuova,5738,184589706,179603198,32169.69
Cirenaica,6814,191615061,186831839,28120.79
Croce del Biacco,3119,75910991,73830762,24338.25
Dagnini,7320,216921895,211300249,29634.14
Emilia Ponente,6877,189439171,184986675,27546.77
Giardini Margherita,22,1049545,982324,47706.59
Irnerio-2,7602,244142705,237930141,32115.59
La Dozza,1119,31156610,30506575,27843.26
Lungo Savena,114,2474744,2368215,21708.28
Malpighi-1,1416,69608266,68395860,49158.38
Malpighi-2,7621,252689491,246094933,33157.0
Marconi-2,9568,327130401,320321981,34190.05
Mezzofanti,5583,242048280,237369321,43354.52
NON RESIDENTI NELL'ANNO DI IMPOSTA,14028,178561034,173166406,12728.9
Ospedale Sant'Orsola,65,1198342,1128788,18436.03
Ponte Savena-La Bastia,1067,27762622,26697467,26019.33
Rigosa,961,24823314,24095472,25830.71
San Giuseppe,4883,198166225,193033785,40582.88
San Luca,473,33771472,33044897,71398.46
Scalo Ravone,113,3437137,3357725,30417.14
Tiro A Segno,99,2469329,2426519,24942.72
Via Ferrarese,8705,209262828,202788303,24039.38
Via Toscana,7360,220210612,214403979,29919.92
Via del Genio,10,756166,756166,75616.6
Via del Lavoro,5855,142565191,138702398,24349.31
Via del Vivaio,596,14285173,13827127,23968.41
Battindarno,6962,178738938,174159189,25673.5
Corelli,6583,175933333,171326933,26725.4
Ducati-Villaggio Ina,2459,60514504,58854101,24609.4
Due Madonne,2254,58185578,56732121,25814.36
Fossolo,6942,211096987,206649627,30408.67
Galvani-2,8317,335331101,327379234,40318.76
Guelfa,5387,137117765,133363530,25453.46
La Birra,1538,37134354,36186207,24144.57
Laghetti del Rosario,377,12097228,11850479,32088.14
Lungo Reno,9,151427,151427,16825.22
Marconi-1,1821,74252365,71964461,40775.6
Michelino,3454,76464885,74041277,22138.07
Mulino del Gomito,516,10291160,9893632,19944.11
Ospedale Bellaria,101,3717567,3664767,36807.59
Osservanza,3223,169566339,166291349,52611.34
Pescarola,3287,77278707,74950330,23510.41
Ravone,938,40455511,39337122,43129.54
Scalo Merci San Donato,33,1379280,1362075,41796.36
Siepelunga,3370,155118169,152395780,46029.13
Stadio-Meloncello,2855,95675849,93171818,33511.68
Stradelli Guelfi,263,8770593,8427142,33348.26
Triumvirato-Pietra,4029,100202951,97555937,24870.43
Via Larga,1643,49655774,48824439,30222.63
Via Mondo,6049,137181377,132975415,22678.36
Villaggio della Barca,4209,89467183,86448780,21256.16
Zanardi,4852,129578221,126277880,26706.15
