year,area_name,quartiere_name,zona_name,census_section,n_local_units,n_workers_private,n_workers_public,n_students
2018,ROVERI,San Donato - San Vitale,S. Vitale,1699,10,544,0,0
2018,ROVERI,San Donato - San Vitale,S. Vitale,1705,18,183,0,0
2018,VIA LARGA,San Donato - San Vitale,S. Vitale,1732,12,1241,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1748,15,30,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1749,20,36,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1754,67,433,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1759,8,10,0,0
2018,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1760,54,692,0,0
2018,GUELFA,San Donato - San Vitale,S. Vitale,1778,1,1,0,0
2018,STADIO-MELONCELLO,Porto - Saragozza,Costa Saragozza,1821,53,105,0,0
2018,STADIO-MELONCELLO,Porto - Saragozza,Costa Saragozza,1879,4,4,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1930,2,2,0,0
2018,MALPIGHI-2,Porto - Saragozza,Malpighi,1942,36,71,0,0
2018,MALPIGHI-1,Porto - Saragozza,Malpighi,1959,36,42,0,0
2018,MALPIGHI-1,Porto - Saragozza,Malpighi,1970,22,34,0,0
2018,MALPIGHI-1,Porto - Saragozza,Malpighi,1971,45,90,0,0
2018,FOSSOLO,Savena,Mazzini,2033,40,142,0,0
2018,DUE MADONNE,Savena,Mazzini,2050,12,15,0,0
2018,PONTEVECCHIO,Savena,Mazzini,2059,48,94,0,0
2018,BITONE,Savena,Mazzini,2099,30,50,0,0
2018,BITONE,Savena,Mazzini,2106,7,17,0,0
2018,VIA ARNO,Savena,Mazzini,2121,13,15,0,0
2018,VIA ARNO,Savena,Mazzini,2126,34,58,0,0
2018,VIA ARNO,Savena,Mazzini,2131,13,14,0,0
2018,CAVEDONE,Savena,Mazzini,2140,4,8,0,0
2018,CAVEDONE,Savena,Mazzini,2143,11,13,0,0
2018,CAVEDONE,Savena,Mazzini,2148,14,13,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2202,4,6,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2211,14,18,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2214,9,15,0,0
2018,CORELLI,Savena,S. Ruffillo,2221,7,8,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2239,8,11,0,0
2018,VIA TOSCANA,Savena,S. Ruffillo,2247,8,20,0,0
2019,VIA DEL VIVAIO,Borgo Panigale - Reno,Borgo Panigale,1,4,5,0,0
2019,VIA DEL VIVAIO,Borgo Panigale - Reno,Borgo Panigale,15,2,2,0,0
2019,AEROPORTO,Borgo Panigale - Reno,Borgo Panigale,31,3,23,0,0
2019,BARGELLINO,Borgo Panigale - Reno,Borgo Panigale,41,15,148,0,0
2019,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,58,11,18,0,75
2019,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,62,20,24,0,0
2019,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,64,7,9,0,0
2019,LA BIRRA,Borgo Panigale - Reno,Borgo Panigale,65,8,31,0,0
