area_name,workers,students_school
irnerio-2,13727,1448
marconi-2,12037,2307
malpighi-2,6757,6365
galvani-2,6718,2960
ospedale sant'orsola,8594,0
croce coperta,7187,424
roveri,7088,0
beverara,5323,1165
piazza dell'unita',3006,3337
arcoveggio,2187,4085
fiera,5966,0
marconi-1,4011,1275
via ferrarese,4725,480
irnerio-1,4640,72
mengoli,2671,1952
galvani-1,4304,0
malpighi-1,4143,0
cirenaica,2827,1303
ducati-villaggio ina,3182,917
fossolo,1991,2099
emilia ponente,3158,695
via del lavoro,2876,810
caab,3670,0
michelino,1366,2095
chiesanuova,1290,2138
zanardi,3113,264
mezzofanti,2796,508
prati di caprara-ospedale maggiore,3263,0
via vittorio veneto,1774,1359
dagnini,1716,1377
xxi aprile,2032,748
san michele in bosco,2266,498
lazzaretto,1909,828
villaggio della barca,871,1847
via toscana,1517,960
battindarno,1421,1033
via larga,2433,0
bitone,1732,698
agucchi,1577,770
san savino,1284,1051
borgo centro,1683,513
san giuseppe,1320,819
triumvirato-pietra,1923,185
corelli,996,1076
bargellino,2066,0
guelfa,1747,281
via mondo,1315,569
aeroporto,1882,0
croce del biacco,1693,162
ex mercato ortofrutticolo,1684,95
casteldebole,1285,486
canale di reno,1327,367
velodromo,1377,249
via arno,1075,549
pontevecchio,1106,341
ospedale bellaria,1413,0
caserme rosse-manifattura,987,341
cadriano-calamosco,1216,0
pilastro,669,541
rigosa,1025,151
savena abbandonato,553,523
scandellara,173,887
osservanza,972,50
stadio-meloncello,705,275
cnr,819,0
ravone,243,554
siepelunga,796,0
due madonne,285,422
cavedone,227,475
mulino del gomito,541,67
pescarola,395,183
san donnino,271,264
la dozza,242,216
laghetti del rosario,445,0
giardini margherita,56,380
paderno,296,81
la birra,183,192
scalo ravone,351,0
monte donato,291,0
la noce,273,0
ponte savena-la bastia,198,0
scalo merci san donato,191,0
via del vivaio,148,0
tiro a segno,27,113
lavino di mezzo,111,0
san luca,84,0
stradelli guelfi,73,0
lungo savena,68,0
via del genio,4,0
lungo reno,1,0
