area_id,area_name,quartiere_name,zona_name,sex,age_group,citizenship,population
1,lavino di mezzo,Borgo Panigale - Reno,Borgo Panigale,Maschi,15-24,Straniera,5
1,lavino di mezzo,Borgo Panigale - Reno,Borgo Panigale,Maschi,65 e oltre,Italiana,33
3,bargellino,Borgo Panigale - Reno,Borgo Panigale,Femmine,06-14,Italiana,2
4,aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,02 e prima,Italiana,4
4,aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Italiana,14
4,aeroporto,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Straniera,5
7,ducati-villaggio ina,Borgo Panigale - Reno,Borgo Panigale,Femmine,03-05,Straniera,5
7,ducati-villaggio ina,Borgo Panigale - Reno,Borgo Panigale,Femmine,06-14,Italiana,68
7,ducati-villaggio ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,06-14,Italiana,113
7,ducati-villaggio ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,06-14,Straniera,17
7,ducati-villaggio ina,Borgo Panigale - Reno,Borgo Panigale,Maschi,55-64,Straniera,11
8,borgo centro,Borgo Panigale - Reno,Borgo Panigale,Femmine,03-05,Italiana,58
8,borgo centro,Borgo Panigale - Reno,Borgo Panigale,Maschi,25-34,Straniera,95
8,borgo centro,Borgo Panigale - Reno,Borgo Panigale,Maschi,65 e oltre,Italiana,708
11,casteldebole,Borgo Panigale - Reno,Borgo Panigale,Femmine,02 e prima,Straniera,3
12,caserme rosse-manifattura,Navile,Bolognina,Femmine,25-34,Italiana,30
12,caserme rosse-manifattura,Navile,Bolognina,Femmine,45-54,Straniera,53
12,caserme rosse-manifattura,Navile,Bolognina,Femmine,65 e oltre,Straniera,32
14,arcoveggio,Navile,Bolognina,Maschi,15-24,Straniera,120
16,ex mercato ortofrutticolo,Navile,Bolognina,Femmine,03-05,Italiana,27
17,piazza dell'unita',Navile,Bolognina,Femmine,65 e oltre,Straniera,145
18,san savino,Navile,Corticella,Femmine,03-05,Straniera,19
18,san savino,Navile,Corticella,Femmine,06-14,Italiana,262
18,san savino,Navile,Corticella,Maschi,45-54,Italiana,567
19,savena abbandonato,Navile,Corticella,Femmine,02 e prima,Italiana,9
19,savena abbandonato,Navile,Corticella,Femmine,65 e oltre,Italiana,86
19,savena abbandonato,Navile,Corticella,Maschi,02 e prima,Italiana,2
20,croce coperta,Navile,Corticella,Femmine,02 e prima,Straniera,12
20,croce coperta,Navile,Corticella,Maschi,02 e prima,Straniera,16
21,mulino del gomito,Navile,Corticella,Femmine,15-24,Italiana,15
22,la dozza,Navile,Corticella,Maschi,06-14,Italiana,37
22,la dozza,Navile,Corticella,Maschi,25-34,Straniera,3
23,laghetti del rosario,Navile,Lame,Femmine,55-64,Italiana,35
24,la noce,Navile,Lame,Femmine,02 e prima,Italiana,13
24,la noce,Navile,Lame,Femmine,25-34,Italiana,36
24,la noce,Navile,Lame,Maschi,25-34,Straniera,8
25,tiro a segno,Navile,Lame,Maschi,06-14,Italiana,5
25,tiro a segno,Navile,Lame,Maschi,45-54,Italiana,9
50,osservanza,Santo Stefano,Colli,Maschi,55-64,Italiana,288
50,osservanza,Santo Stefano,Colli,Maschi,65 e oltre,Straniera,10
51,san michele in bosco,Santo Stefano,Colli,Femmine,06-14,Straniera,3
51,san michele in bosco,Santo Stefano,Colli,Femmine,25-34,Italiana,72
52,paderno,Santo Stefano,Colli,Femmine,25-34,Straniera,1
52,paderno,Santo Stefano,Colli,Maschi,25-34,Italiana,32
53,galvani-1,Santo Stefano,Galvani,Maschi,15-24,Italiana,67
54,galvani-2,Santo Stefano,Galvani,Femmine,45-54,Italiana,741
55,giardini margherita,Santo Stefano,Murri,Femmine,15-24,Italiana,2
56,mezzofanti,Santo Stefano,Murri,Femmine,02 e prima,Italiana,50
56,mezzofanti,Santo Stefano,Murri,Femmine,06-14,Italiana,249
56,mezzofanti,Santo Stefano,Murri,Femmine,35-44,Italiana,386
57,siepelunga,Santo Stefano,Murri,Femmine,15-24,Straniera,16
57,siepelunga,Santo Stefano,Murri,Femmine,25-34,Straniera,20
57,siepelunga,Santo Stefano,Murri,Maschi,02 e prima,Italiana,42
58,dagnini,Santo Stefano,Murri,Femmine,25-34,Straniera,55
58,dagnini,Santo Stefano,Murri,Femmine,65 e oltre,Straniera,77
59,chiesanuova,Santo Stefano,Murri,Maschi,02 e prima,Italiana,80
59,chiesanuova,Santo Stefano,Murri,Maschi,03-05,Straniera,8
59,chiesanuova,Santo Stefano,Murri,Maschi,06-14,Straniera,27
60,irnerio-1,Santo Stefano,Irnerio,Femmine,25-34,Straniera,28
61,irnerio-2,Santo Stefano,Irnerio,Femmine,25-34,Straniera,96
61,irnerio-2,Santo Stefano,Irnerio,Maschi,25-34,Italiana,333
61,irnerio-2,Santo Stefano,Irnerio,Maschi,45-54,Straniera,95
61,irnerio-2,Santo Stefano,Irnerio,Maschi,65 e oltre,Italiana,888
62,cirenaica,San Donato - San Vitale,San Vitale,Femmine,45-54,Italiana,564
62,cirenaica,San Donato - San Vitale,San Vitale,Femmine,55-64,Straniera,87
62,cirenaica,San Donato - San Vitale,San Vitale,Femmine,65 e oltre,Straniera,96
63,scandellara,San Donato - San Vitale,San Vitale,Maschi,03-05,Italiana,21
64,via larga,San Donato - San Vitale,San Vitale,Maschi,06-14,Straniera,3
65,roveri,San Donato - San Vitale,San Vitale,Femmine,03-05,Italiana,9
65,roveri,San Donato - San Vitale,San Vitale,Femmine,25-34,Straniera,5
65,roveri,San Donato - San Vitale,San Vitale,Femmine,65 e oltre,Straniera,8
65,roveri,San Donato - San Vitale,San Vitale,Maschi,03-05,Italiana,5
66,ospedale sant'orsola,San Donato - San Vitale,San Vitale,Femmine,25-34,Straniera,1
67,mengoli,San Donato - San Vitale,San Vitale,Femmine,03-05,Straniera,15
67,mengoli,San Donato - San Vitale,San Vitale,Maschi,06-14,Italiana,291
68,guelfa,San Donato - San Vitale,San Vitale,Femmine,06-14,Italiana,178
69,croce del biacco,San Donato - San Vitale,San Vitale,Femmine,06-14,Straniera,44
69,croce del biacco,San Donato - San Vitale,San Vitale,Maschi,15-24,Italiana,157
47,via del lavoro,San Donato - San Vitale,San Donato,Maschi,25-34,Italiana,227
48,michelino,San Donato - San Vitale,San Donato,Femmine,65 e oltre,Straniera,44
49,via mondo,San Donato - San Vitale,San Donato,Femmine,06-14,Straniera,77
50,osservanza,Santo Stefano,Colli,Maschi,25-34,Italiana,113
50,osservanza,Santo Stefano,Colli,Maschi,35-44,Straniera,33
51,san michele in bosco,Santo Stefano,Colli,Femmine,45-54,Italiana,196
51,san michele in bosco,Santo Stefano,Colli,Maschi,35-44,Italiana,151
52,paderno,Santo Stefano,Colli,Maschi,25-34,Italiana,29
53,galvani-1,Santo Stefano,Galvani,Femmine,25-34,Italiana,57
53,galvani-1,Santo Stefano,Galvani,Maschi,25-34,Italiana,47
56,mezzofanti,Santo Stefano,Murri,Maschi,06-14,Straniera,13
58,dagnini,Santo Stefano,Murri,Maschi,15-24,Italiana,358
58,dagnini,Santo Stefano,Murri,Maschi,15-24,Straniera,55
58,dagnini,Santo Stefano,Murri,Maschi,25-34,Italiana,304
59,chiesanuova,Santo Stefano,Murri,Maschi,02 e prima,Straniera,11
60,irnerio-1,Santo Stefano,Irnerio,Maschi,02 e prima,Straniera,3
60,irnerio-1,Santo Stefano,Irnerio,Maschi,03-05,Straniera,4
60,irnerio-1,Santo Stefano,Irnerio,Maschi,65 e oltre,Italiana,372
60,irnerio-1,Santo Stefano,Irnerio,Maschi,65 e oltre,Straniera,9
61,irnerio-2,Santo Stefano,Irnerio,Femmine,02 e prima,Straniera,16
61,irnerio-2,Santo Stefano,Irnerio,Maschi,35-44,Italiana,643
63,scandellara,San Donato - San Vitale,San Vitale,Maschi,25-34,Italiana,33
64,via larga,San Donato - San Vitale,San Vitale,Femmine,15-24,Straniera,18
64,via larga,San Donato - San Vitale,San Vitale,Femmine,35-44,Italiana,69
64,via larga,San Donato - San Vitale,San Vitale,Femmine,55-64,Italiana,233
64,via larga,San Donato - San Vitale,San Vitale,Maschi,06-14,Italiana,47
65,roveri,San Donato - San Vitale,San Vitale,Femmine,06-14,Straniera,4
65,roveri,San Donato - San Vitale,San Vitale,Femmine,45-54,Italiana,52
65,roveri,San Donato - San Vitale,San Vitale,Maschi,06-14,Italiana,19
65,roveri,San Donato - San Vitale,San Vitale,Maschi,45-54,Italiana,46
66,ospedale sant'orsola,San Donato - San Vitale,San Vitale,Femmine,55-64,Straniera,1
67,mengoli,San Donato - San Vitale,San Vitale,Femmine,06-14,Italiana,282
67,mengoli,San Donato - San Vitale,San Vitale,Femmine,35-44,Italiana,585
67,mengoli,San Donato - San Vitale,San Vitale,Femmine,35-44,Straniera,122
67,mengoli,San Donato - San Vitale,San Vitale,Maschi,02 e prima,Straniera,14
67,mengoli,San Donato - San Vitale,San Vitale,Maschi,15-24,Straniera,40
68,guelfa,San Donato - San Vitale,San Vitale,Femmine,02 e prima,Straniera,14
68,guelfa,San Donato - San Vitale,San Vitale,Femmine,45-54,Italiana,418
