area_name,household_type,household_size,households
battindarno,Altre tipologie familiari,6-10,1.67243598912888
canale di reno,Altre tipologie familiari,6-10,1.1941067086253754
villaggio della barca,Altre tipologie familiari,6-10,1.1334573022457446
battindarno,Coniugi con figli e altri membri conviventi,4,28.84952081247318
canale di reno,Coniugi con figli e altri membri conviventi,4,20.598340723787725
villaggio della barca,Coniugi con figli e altri membri conviventi,4,19.552138463739094
battindarno,Padre con figli,4,0.41810899728222
canale di reno,Padre con figli,4,0.29852667715634384
villaggio della barca,Padre con figli,4,0.28336432556143615
battindarno,Padre con figli e altri membri conviventi,3,63.13445858961522
canale di reno,Padre con figli e altri membri conviventi,3,45.07752825060792
villaggio della barca,Padre con figli e altri membri conviventi,3,42.78801315977686
battindarno,Padre con figli e altri membri conviventi,6-10,2.92676298097554
canale di reno,Padre con figli e altri membri conviventi,6-10,2.089686740094407
villaggio della barca,Padre con figli e altri membri conviventi,6-10,1.983550278930053
aeroporto,Madre con figli e altri membri conviventi,6-10,0.17381532122120247
bargellino,Madre con figli e altri membri conviventi,6-10,0.026971342948117625
borgo centro,Madre con figli e altri membri conviventi,6-10,2.964974714365986
casteldebole,Madre con figli e altri membri conviventi,6-10,1.893238434163701
ducati-villaggio ina,Madre con figli e altri membri conviventi,6-10,1.1537741150028096
la birra,Madre con figli e altri membri conviventi,6-10,0.7263532496722234
lavino di mezzo,Madre con figli e altri membri conviventi,6-10,0.19704064431541488
lungo reno,Madre con figli e altri membri conviventi,6-10,0.004869825810076793
rigosa,Madre con figli e altri membri conviventi,6-10,0.4967222326278329
triumvirato-pietra,Madre con figli e altri membri conviventi,6-10,2.01423487544484
via del vivaio,Madre con figli e altri membri conviventi,6-10,0.34800524442779546
aeroporto,Padre con figli,2,3.337254167447087
bargellino,Padre con figli,2,0.5178497846038584
borgo centro,Padre con figli,2,56.92751451582693
casteldebole,Padre con figli,2,36.35017793594306
ducati-villaggio ina,Padre con figli,2,22.152463008053942
la birra,Padre con figli,2,13.945982393706688
lavino di mezzo,Padre con figli,2,3.7831803708559653
lungo reno,Padre con figli,2,0.09350065555347443
