﻿Anno;Codice Area Statistica;Area Statistica;Quartiere;Zona;Sesso;Età grandi;Età;Cittadinanza;Residenti;Zona di prossimità
2015;14;Arcoveggio;Navile;Bolognina;Femmine;55-64;45-64;Straniera;114;BOLOGNINA
2015;14;Arcoveggio;Navile;Bolognina;Maschi;15-24;15-29;Italiana;289;BOLOGNINA
2015;15;Via Ferrarese;Navile;Bolognina;Femmine;35-44;30-44;Straniera;309;BOLOGNINA
2015;15;Via Ferrarese;Navile;Bolognina;Maschi;02 e prima;00-14;Straniera;93;BOLOGNINA
2015;15;Via Ferrarese;Navile;Bolognina;Maschi;25-34;15-29;Straniera;183;BOLOGNINA
2015;15;Via Ferrarese;Navile;Bolognina;Maschi;35-44;30-44;Italiana;691;BOLOGNINA
2015;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;Femmine;03-05;00-14;Italiana;13;BOLOGNINA
2015;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;Femmine;15-24;15-29;Straniera;30;BOLOGNINA
2015;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;Femmine;45-54;45-64;Italiana;39;BOLOGNINA
2015;16;Ex Mercato Ortofrutticolo;Navile;Bolognina;Maschi;35-44;30-44;Italiana;44;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Femmine;06-14;00-14;Italiana;256;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Femmine;15-24;15-29;Italiana;289;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Femmine;55-64;45-64;Straniera;128;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Femmine;65 e oltre;65 e oltre;Italiana;1437;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Femmine;65 e oltre;65 e oltre;Straniera;58;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Maschi;15-24;15-29;Italiana;259;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Maschi;15-24;15-29;Straniera;154;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Maschi;55-64;45-64;Italiana;456;BOLOGNINA
2015;17;Piazza dell'Unita';Navile;Bolognina;Maschi;65 e oltre;65 e oltre;Straniera;31;BOLOGNINA
