Anno;Quartiere;Zona;Tipologia Famiglia;Dimensione Familiare;Numero Famiglie;Componenti
2002;Santo Stefano;Galvani;Coniugi con figli e altri membri conviventi;5;26;130
2002;Santo Stefano;Galvani;Madre con figli;4;15;60
2003;Borgo Panigale - Reno;Barca;Coniugi con figli e altri membri conviventi;5;72;360
2003;Borgo Panigale - Reno;Barca;Madre con figli;4;20;80
2003;Borgo Panigale - Reno;Barca;Madre con figli;6-10;2;12
2003;Borgo Panigale - Reno;Borgo Panigale;Coniugi con altri membri conviventi;3;156;468
2003;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;5;10;50
2003;Borgo Panigale - Reno;Borgo Panigale;Madre con figli e altri membri conviventi;6-10;8;58
2003;Borgo Panigale - Reno;Borgo Panigale;Padre con figli e altri membri conviventi;6-10;5;33
2003;Borgo Panigale - Reno;Santa Viola;Altre tipologie familiari;2;235;470
2003;Navile;Bolognina;Padre con figli;4;4;16
2003;Navile;Corticella;Altre tipologie familiari;5;1;5
2003;Navile;Corticella;Madre con figli e altri membri conviventi;5;7;35
2003;Navile;Lame;Madre con figli;3;117;351
2003;Porto - Saragozza;Costa Saragozza;Coniugi con altri membri conviventi;3;95;285
2003;Porto - Saragozza;Malpighi;Madre con figli e altri membri conviventi;4;23;92
2003;Porto - Saragozza;Malpighi;Padre con figli;2;71;142
2003;Porto - Saragozza;Marconi;Coniugi con figli;6-10;17;108
2003;Porto - Saragozza;Marconi;Coniugi con figli e altri membri conviventi;5;34;170
2003;Porto - Saragozza;Marconi;Padre con figli;2;108;216
2003;Porto - Saragozza;Marconi;Padre con figli e altri membri conviventi;6-10;1;9
2003;Porto - Saragozza;Marconi;Solo;1;1694;1694
2003;Porto - Saragozza;Saffi;Altre tipologie familiari;5;2;10
2003;Porto - Saragozza;Saffi;Madre con figli;3;104;312
2003;San Donato - San Vitale;San Donato;Coniugi;2;2963;5926
2003;San Donato - San Vitale;San Donato;Coniugi con figli;6-10;57;373
2003;San Donato - San Vitale;San Donato;Coniugi con figli;Oltre 10;1;11
