Sezione censimento (2011);Anno di riferimento;Nome quartiere;Nome zona;Nome area;Numero unità locali;Numero addetti (dipendenti e indipendenti);Numero addetti istituzioni pubbliche;Numero studenti
1699;2018;San Donato - San Vitale;S. Vitale;ROVERI;10;544;;
1705;2018;San Donato - San Vitale;S. Vitale;ROVERI;18;183;;
1732;2018;San Donato - San Vitale;S. Vitale;VIA LARGA;12;1241;;
1748;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;15;30;;
1749;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;20;36;;
1754;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;67;433;;
1759;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;8;10;;
1760;2018;San Donato - San Vitale;S. Vitale;CROCE DEL BIACCO;54;692;;
1778;2018;San Donato - San Vitale;S. Vitale;GUELFA;1;1;;
1821;2018;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;53;105;;
1879;2018;Porto - Saragozza;Costa Saragozza;STADIO-MELONCELLO;4;4;;
1930;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;2;2;;
1942;2018;Porto - Saragozza;Malpighi;MALPIGHI-2;36;71;;
1959;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;36;42;;
1970;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;22;34;;
1971;2018;Porto - Saragozza;Malpighi;MALPIGHI-1;45;90;;
2033;2018;Savena;Mazzini;FOSSOLO;40;142;;
2050;2018;Savena;Mazzini;DUE MADONNE;12;15;;
2059;2018;Savena;Mazzini;PONTEVECCHIO;48;94;;
2099;2018;Savena;Mazzini;BITONE;30;50;;
2106;2018;Savena;Mazzini;BITONE;7;17;;
2121;2018;Savena;Mazzini;VIA ARNO;13;15;;
2126;2018;Savena;Mazzini;VIA ARNO;34;58;;
2131;2018;Savena;Mazzini;VIA ARNO;13;14;;
2140;2018;Savena;Mazzini;CAVEDONE;4;8;;
2143;2018;Savena;Mazzini;CAVEDONE;11;13;;
2148;2018;Savena;Mazzini;CAVEDONE;14;13;;
2202;2018;Savena;S. Ruffillo;VIA TOSCANA;4;6;;
2211;2018;Savena;S. Ruffillo;VIA TOSCANA;14;18;;
2214;2018;Savena;S. Ruffillo;VIA TOSCANA;9;15;;
2221;2018;Savena;S. Ruffillo;CORELLI;7;8;;
2239;2018;Savena;S. Ruffillo;VIA TOSCANA;8;11;;
2247;2018;Savena;S. Ruffillo;VIA TOSCANA;8;20;;
98;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;13;13;13;
138;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;14;118;;
139;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;7;30;;
140;2017;Borgo Panigale - Reno;Borgo Panigale;BORGO CENTRO;51;96;;
149;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;19;37;;
150;2017;Borgo Panigale - Reno;Borgo Panigale;TRIUMVIRATO-PIETRA;23;31;;
188;2017;Borgo Panigale - Reno;Borgo Panigale;RIGOSA;3;2;;
210;2017;Navile;Bolognina;CASERME ROSSE-MANIFATTURA;10;17;;
219;2017;Navile;Bolognina;CASERME ROSSE-MANIFATTURA;3;3;144;
257;2017;Navile;Bolognina;ARCOVEGGIO;40;80;;
