household_id,area_name,household_size_cat,household_size,num_cars,household_income
HH_0000001,battindarno,6-10,9,1,153534.02
HH_0000002,battindarno,6-10,10,1,180949.14
HH_0000003,battindarno,4,4,2,59052.600000000006
HH_0000004,battindarno,4,4,1,54492.770000000004
HH_0000005,battindarno,4,4,1,81045.76
HH_0000006,battindarno,4,4,1,72755.97
HH_0000007,battindarno,4,4,2,79027.54000000001
HH_0000008,battindarno,4,4,2,78299.49
HH_0000009,battindarno,4,4,1,69663.0
HH_0000010,battindarno,4,4,2,52203.44
HH_0000011,battindarno,4,4,3,82373.74
HH_0000012,battindarno,4,4,1,69404.89
HH_0000013,battindarno,4,4,1,114520.05
HH_0000014,battindarno,4,4,1,39831.880000000005
HH_0000015,battindarno,4,4,1,91354.0
HH_0000016,battindarno,4,4,1,74419.61
HH_0000017,battindarno,4,4,3,86539.57
HH_0000018,battindarno,4,4,0,37840.1
HH_0000019,battindarno,4,4,0,94585.34
HH_0000020,battindarno,4,4,2,109160.05
HH_0000021,battindarno,4,4,1,34915.740000000005
HH_0000022,battindarno,4,4,2,72140.14
HH_0000023,battindarno,4,4,1,53425.04
HH_0000024,battindarno,4,4,1,70133.02
HH_0000025,battindarno,4,4,1,82046.98
HH_0000026,battindarno,4,4,1,40847.86
HH_0000027,battindarno,4,4,1,58323.18
HH_0000028,battindarno,4,4,1,78239.93000000001
HH_0000029,battindarno,4,4,1,84794.07
HH_0000030,battindarno,4,4,1,61859.2
HH_0000031,battindarno,4,4,2,55721.12
HH_0000032,battindarno,4,4,2,51077.25
HH_0000033,battindarno,3,3,2,83140.28
HH_0000034,battindarno,3,3,1,69313.29
HH_0000035,battindarno,3,3,2,76677.88
HH_0000036,battindarno,3,3,1,45584.369999999995
HH_0000037,battindarno,3,3,1,44655.25
HH_0000038,battindarno,3,3,3,84859.06
HH_0000039,battindarno,3,3,0,67690.61
HH_0000040,battindarno,3,3,1,46882.619999999995
HH_0000041,battindarno,3,3,2,60235.22
HH_0000042,battindarno,3,3,1,42892.83
HH_0000043,battindarno,3,3,1,49611.149999999994
HH_0000044,battindarno,3,3,1,62215.02
HH_0000045,battindarno,3,3,2,93754.3
HH_0000046,battindarno,3,3,1,38770.65
HH_0000047,battindarno,3,3,1,54569.6
HH_0000048,battindarno,3,3,3,76541.74
HH_0000049,battindarno,3,3,1,57995.53
HH_0000050,battindarno,3,3,1,60834.55
HH_0000051,battindarno,3,3,1,53224.78
HH_0000052,battindarno,3,3,1,69186.56
HH_0000053,battindarno,3,3,1,77421.26999999999
HH_0000054,battindarno,3,3,1,55100.119999999995
HH_0000055,battindarno,3,3,1,41328.09
HH_0000056,battindarno,3,3,2,65637.35
HH_0000057,battindarno,3,3,1,47691.28
HH_0000058,battindarno,3,3,1,71694.67
HH_0000059,battindarno,3,3,1,58723.12
HH_0000060,battindarno,3,3,2,62917.79000000001
HH_0000061,battindarno,3,3,1,37002.59
HH_0000062,battindarno,3,3,2,84516.76999999999
HH_0000063,battindarno,3,3,2,63851.450000000004
HH_0000064,battindarno,3,3,1,30553.11
HH_0000065,battindarno,3,3,0,47770.13
HH_0000066,battindarno,3,3,1,51246.03
HH_0000067,battindarno,3,3,0,44102.5
HH_0000068,battindarno,3,3,2,76092.58
HH_0000069,battindarno,3,3,1,72903.64
HH_0000070,battindarno,3,3,1,90255.7
HH_0000071,battindarno,3,3,2,66779.62
HH_0000072,battindarno,3,3,1,48723.11
HH_0000073,battindarno,3,3,1,61283.39
HH_0000074,battindarno,3,3,3,78471.95
HH_0000075,battindarno,3,3,1,56704.96000000001
HH_0000076,battindarno,3,3,3,81973.19
HH_0000077,battindarno,3,3,1,88200.68000000001
HH_0000078,battindarno,3,3,1,45049.16
HH_0000079,battindarno,3,3,1,48128.04
HH_0000080,battindarno,3,3,1,31682.66
HH_0000081,battindarno,3,3,1,42299.87
HH_0000082,battindarno,3,3,0,62867.22
HH_0000083,battindarno,3,3,0,65571.1
HH_0000084,battindarno,3,3,1,46328.21
HH_0000085,battindarno,3,3,1,43829.61
HH_0000086,battindarno,3,3,2,72087.20999999999
HH_0000087,battindarno,3,3,1,67532.43
HH_0000088,battindarno,3,3,2,64640.36
HH_0000089,battindarno,3,3,1,52671.54
HH_0000090,battindarno,3,3,3,73780.19
HH_0000091,battindarno,3,3,1,78804.88
HH_0000092,battindarno,3,3,1,38819.55
HH_0000093,battindarno,3,3,1,39363.43
HH_0000094,battindarno,3,3,2,69157.07
HH_0000095,battindarno,3,3,1,33710.59
HH_0000096,battindarno,3,3,1,87212.91
HH_0000097,battindarno,6-10,6,1,71510.85
HH_0000098,battindarno,6-10,8,1,158730.82
HH_0000099,battindarno,6-10,10,2,192731.54
HH_0000100,battindarno,1,1,1,13002.77
HH_0000101,battindarno,1,1,1,21080.07
HH_0000102,battindarno,1,1,1,31357.24
HH_0000103,battindarno,1,1,1,18836.95
HH_0000104,battindarno,1,1,0,14187.02
HH_0000105,battindarno,1,1,1,0.0
HH_0000106,battindarno,1,1,0,13870.67
HH_0000107,battindarno,1,1,1,41102.97
HH_0000108,battindarno,1,1,0,24961.74
HH_0000109,battindarno,1,1,1,0.0
HH_0000110,battindarno,1,1,0,0.0
HH_0000111,battindarno,1,1,1,18074.67
HH_0000112,battindarno,1,1,1,11377.63
HH_0000113,battindarno,1,1,1,11660.47
HH_0000114,battindarno,1,1,0,20872.35
